Brandenburg Berlin Baden-Württemberg Bayern Bremen Hessen Hamburg Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Schleswig-Holstein Sachsen Thüringen Sachsen-Anhalt    0
4.3. 1 7 50 48 3 12 3 4 7 115 7 1 2 1 1     262
5.3. 1 13 73 70 3 14 5 4 18 181 8 1 7 1 1     400
6.3. 2 19 96 117 4 16 11 5 18 329 10 2 7 2 1     639
7.3. 2 28 170 134 4 17 13 5 19 373 13 3 8 4 2     795
8.3. 4 40 182 172 4 19 13 8 21 398 19 9 7 4 2     902
9.3. 6 48 204 256 4 26 17 10 38 484 17 6 9 12 2     1139
10.3. 9 48 237 314 4 35 29 13 49 484 25 7 9 22 4 7    1296
11.3. 24 90 277 366 21 48 48 17 75 484 25 14 27 26 10 15    1567
12.3. 30 137 454 500 38 99 88 23 129 688 52 14 31 45 14 27    2369
14.3. 61 216 569 681 50 203 158 45 253 1154 121 40 60 93 46 45    3795
15.3. 84 265 827 886 53 286 162 50 287 1407 168 32 103 130 51 47    4838
16.3. 94 300 1105 1067 56 342 260 51 391 1541 325 85 123 140 55 77    6012
17.3. 73 345 1479 1109 57 373 310 45 325 2105 442 75 127 182 51 58    7156
18.3. 92 391 1609 1243 69 432 358 56 478 2372 474 88 159 198 74 105    8198
19.3. 134 573 2155 1692 80 682 432 98 669 3033 637 99 202 275 98 140    10999
20.3. 192 731 2746 2401 121 813 586 131 803 3497 801 146 266 394 149 180    13957
21.3. 254 866 3668 2960 142 1080 587 165 1023 3542 938 187 308 567 187 188    16662
22.3. 274 1024 3807 3650 165 1175 872 172 1306 3545 1053 187 347 606 216 211    18610
23.3. 288 1077 3811 4892 170 1347 943 172 1483 5615 1177 200 383 653 249 212    22672
24.3. 343 1220 5348 5754 183 1620 1043 199 1764 6318 1370 337 478 811 327 321    27436
25.3. 429 1428 6069 6558 200 1754 1262 218 2140 7197 1591 403 577 959 394 375    31554
26.3. 477 1656 7283 7993 211 2157 1265 244 2347 7924 1816 433 675 1141 468 418    36508
27.3. 537 1955 8161 9481 241 2323 1693 259 2810 9235 1971 505 812 1305 542 458    42288
28.3. 645 2161 9781 11150 260 2604 1765 308 3150 10607 2212 550 915 1432 584 458    48582
30.3. 761 2464 10943 13989 286 3091 2053 356 3732 12178 2584 706 1049 1795 719 592    57298
31.3. 798 2575 12334 14810 294 3283 2191 366 4063 13225 2726 782 1120 1882 784 680    61913
1.4. 881 2754 13410 16497 311 3445 2311 406 4382 14351 2899 829 1246 2034 860 750    67366
2.4.                    0
3.4. 1075 3202 16059 20237 341 3993 2596 468 5081 16606 3362 1079 1443 2336 982 836    79696
4.4. 1211 3471 17014 21908 354 4279 2697 501 5571 17885 3504 1265 1559 2591 1072 896    85778
5.4. 1305 3613 18614 23846 394 4575 2945 523 5712 18735 3663 1358 1631 2741 1140 919    91714
6.4. 1345 3670 19395 24974 397 4674 2993 528 5960 19384 3882 1483 1671 2903 1176 956    95391
